<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SBER:SMAL;60;20220504;170000;123.7900000;123.7900000;123.7900000;123.7900000;8
MOEX.SBER:SMAL;60;20220504;180000;125.2200000;125.2200000;125.2200000;125.2200000;2
MOEX.SBER:SMAL;60;20220505;140000;123.1300000;123.1300000;123.1300000;123.1300000;2
MOEX.SBER:SMAL;60;20220505;150000;123.4100000;124.4000000;123.4100000;124.4000000;10
MOEX.SBER:SMAL;60;20220505;180000;124.0000000;124.0000000;123.2900000;123.2900000;6
MOEX.SBER:SMAL;60;20220506;110000;124.0000000;124.0000000;121.9000000;121.9000000;7
MOEX.SBER:SMAL;60;20220506;120000;123.0000000;123.0000000;121.5900000;121.5900000;5
MOEX.SBER:SMAL;60;20220506;130000;122.3900000;122.3900000;121.5700000;121.9100000;8
MOEX.SBER:SMAL;60;20220506;140000;123.9900000;123.9900000;123.9900000;123.9900000;13
MOEX.SBER:SMAL;60;20220506;150000;123.9900000;123.9900000;123.9900000;123.9900000;3
MOEX.SBER:SMAL;60;20220506;160000;122.5100000;122.5100000;122.5100000;122.5100000;2
MOEX.SBER:SMAL;60;20220506;180000;123.9900000;123.9900000;123.9900000;123.9900000;1
MOEX.SBER:SMAL;60;20220506;190000;123.5000000;123.9900000;123.5000000;123.9900000;13
MOEX.SBER:SMAL;60;20220511;110000;121.5100000;125.6200000;121.5100000;125.0000000;18
MOEX.SBER:SMAL;60;20220511;120000;124.6100000;125.5600000;124.1000000;124.1000000;7
MOEX.SBER:SMAL;60;20220511;130000;123.9900000;123.9900000;123.9900000;123.9900000;10
MOEX.SBER:SMAL;60;20220511;150000;124.9900000;124.9900000;124.9900000;124.9900000;1
MOEX.SBER:SMAL;60;20220511;160000;123.8100000;123.8100000;123.4500000;123.4500000;10
MOEX.SBER:SMAL;60;20220511;170000;123.1500000;123.1500000;123.0100000;123.0100000;4
MOEX.SBER:SMAL;60;20220511;180000;123.1700000;123.9900000;123.1700000;123.9900000;13
MOEX.SBER:SMAL;60;20220511;190000;123.9000000;123.9900000;123.9000000;123.9900000;14
MOEX.SBER:SMAL;60;20220512;110000;125.7100000;125.7100000;122.1000000;122.1000000;3
MOEX.SBER:SMAL;60;20220512;120000;123.0000000;123.0000000;123.0000000;123.0000000;2
MOEX.SBER:SMAL;60;20220512;140000;121.9700000;121.9700000;121.9700000;121.9700000;7
MOEX.SBER:SMAL;60;20220512;160000;122.9900000;122.9900000;122.9900000;122.9900000;2
MOEX.SBER:SMAL;60;20220512;170000;121.9600000;121.9600000;121.3600000;121.3600000;6
MOEX.SBER:SMAL;60;20220512;190000;121.0000000;121.0000000;119.6300000;119.6300000;4
MOEX.SBER:SMAL;60;20220513;120000;124.9700000;124.9800000;119.2400000;119.2400000;4
MOEX.SBER:SMAL;60;20220513;130000;119.6900000;121.3000000;118.8800000;121.3000000;6
MOEX.SBER:SMAL;60;20220513;150000;121.9700000;121.9700000;121.9700000;121.9700000;9
MOEX.SBER:SMAL;60;20220513;180000;121.9700000;121.9700000;121.9700000;121.9700000;2
MOEX.SBER:SMAL;60;20220513;190000;119.9100000;119.9100000;119.9100000;119.9100000;2
MOEX.SBER:SMAL;60;20220516;130000;123.0000000;123.0000000;121.0000000;121.0000000;3
MOEX.SBER:SMAL;60;20220516;140000;123.9600000;123.9600000;123.9600000;123.9600000;1
MOEX.SBER:SMAL;60;20220516;150000;121.0600000;121.0600000;121.0600000;121.0600000;4
MOEX.SBER:SMAL;60;20220516;170000;122.3100000;123.5500000;122.3100000;123.5500000;14
MOEX.SBER:SMAL;60;20220516;180000;123.0000000;123.0000000;123.0000000;123.0000000;6
MOEX.SBER:SMAL;60;20220517;120000;124.5100000;124.5100000;124.5100000;124.5100000;1
MOEX.SBER:SMAL;60;20220517;130000;126.0000000;126.0000000;126.0000000;126.0000000;3
